# mycobench extended panel: nigeria-full
#
# GENERATED from verified NCBI metadata -- do not hand-edit.
#
# All 213 Illumina paired-end, non-bovis Mycobacterium tuberculosis runs whose
# BioSample geo_loc_name confirms Nigeria. 37 free-text matches from the East
# China Sea and 134 BioSamples with no geo_loc_name were excluded.
#
# SEVERELY STUDY-CLUSTERED. Run 'mycobench review-candidates' with
# --max-per-bioproject before using this panel for any interval or significance
# claim; see cohorts/README.md.
#
# phenotype_source is EMPTY on every row: concordance track only.
sample_id	sra_run	biosample	bioproject	organism	geo_loc_name	collection_date	isolation_source	platform	layout	bases	cohort_tier	phenotype_source	source_study
ng_SRR35084731	SRR35084731	SAMN50741059	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-11-02		ILLUMINA	PAIRED	164237321	B		NCBI_discovery_pending_publication_review
ng_SRR35084733	SRR35084733	SAMN50741057	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-09-18		ILLUMINA	PAIRED	144176871	B		NCBI_discovery_pending_publication_review
ng_SRR35084734	SRR35084734	SAMN50741056	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-08-14		ILLUMINA	PAIRED	201574688	B		NCBI_discovery_pending_publication_review
ng_SRR35084729	SRR35084729	SAMN50741061	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-08-15		ILLUMINA	PAIRED	123771952	B		NCBI_discovery_pending_publication_review
ng_SRR35084728	SRR35084728	SAMN50741062	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2018-11-21		ILLUMINA	PAIRED	144923738	B		NCBI_discovery_pending_publication_review
ng_SRR35084700	SRR35084700	SAMN50741115	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-10-31		ILLUMINA	PAIRED	131089509	B		NCBI_discovery_pending_publication_review
ng_SRR35084746	SRR35084746	SAMN50741045	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-10-29		ILLUMINA	PAIRED	133602467	B		NCBI_discovery_pending_publication_review
ng_SRR35084706	SRR35084706	SAMN50741111	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-08-20		ILLUMINA	PAIRED	139466374	B		NCBI_discovery_pending_publication_review
ng_SRR35084707	SRR35084707	SAMN50741110	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-08-15		ILLUMINA	PAIRED	133964542	B		NCBI_discovery_pending_publication_review
ng_SRR35084710	SRR35084710	SAMN50741107	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2021-01-26		ILLUMINA	PAIRED	149722132	B		NCBI_discovery_pending_publication_review
ng_SRR35084705	SRR35084705	SAMN50741112	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-08-29		ILLUMINA	PAIRED	105636632	B		NCBI_discovery_pending_publication_review
ng_SRR35084701	SRR35084701	SAMN50741114	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-10-21		ILLUMINA	PAIRED	128634926	B		NCBI_discovery_pending_publication_review
ng_SRR35084827	SRR35084827	SAMN50741036	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-01-30		ILLUMINA	PAIRED	131346078	B		NCBI_discovery_pending_publication_review
ng_SRR35084722	SRR35084722	SAMN50741067	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-02-07		ILLUMINA	PAIRED	142842571	B		NCBI_discovery_pending_publication_review
ng_SRR35084721	SRR35084721	SAMN50741068	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-03-26		ILLUMINA	PAIRED	162351546	B		NCBI_discovery_pending_publication_review
ng_SRR35084825	SRR35084825	SAMN50741038	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-04-17		ILLUMINA	PAIRED	163790428	B		NCBI_discovery_pending_publication_review
ng_SRR35084719	SRR35084719	SAMN50741070	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-04-16		ILLUMINA	PAIRED	113507638	B		NCBI_discovery_pending_publication_review
ng_SRR35084823	SRR35084823	SAMN50741040	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-10-10		ILLUMINA	PAIRED	144598804	B		NCBI_discovery_pending_publication_review
ng_SRR35084822	SRR35084822	SAMN50741041	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-04-23		ILLUMINA	PAIRED	125012969	B		NCBI_discovery_pending_publication_review
ng_SRR35084750	SRR35084750	SAMN50741042	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-05-17		ILLUMINA	PAIRED	132671914	B		NCBI_discovery_pending_publication_review
ng_SRR35084826	SRR35084826	SAMN50741037	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-01-03		ILLUMINA	PAIRED	155427182	B		NCBI_discovery_pending_publication_review
ng_SRR35084720	SRR35084720	SAMN50741069	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-03-26		ILLUMINA	PAIRED	167481865	B		NCBI_discovery_pending_publication_review
ng_SRR35084747	SRR35084747	SAMN50741044	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-10-04		ILLUMINA	PAIRED	150607779	B		NCBI_discovery_pending_publication_review
ng_SRR35084708	SRR35084708	SAMN50741109	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-06-26		ILLUMINA	PAIRED	132472107	B		NCBI_discovery_pending_publication_review
ng_SRR35084704	SRR35084704	SAMN50741113	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-10-09		ILLUMINA	PAIRED	145355357	B		NCBI_discovery_pending_publication_review
ng_SRR35084749	SRR35084749	SAMN50741043	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-06-03		ILLUMINA	PAIRED	151549748	B		NCBI_discovery_pending_publication_review
ng_SRR35084743	SRR35084743	SAMN50741048	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-03-09		ILLUMINA	PAIRED	143062543	B		NCBI_discovery_pending_publication_review
ng_SRR35084742	SRR35084742	SAMN50741049	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-03-28		ILLUMINA	PAIRED	128257802	B		NCBI_discovery_pending_publication_review
ng_SRR35084745	SRR35084745	SAMN50741046	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-07-02		ILLUMINA	PAIRED	144410795	B		NCBI_discovery_pending_publication_review
ng_SRR29163969	SRR29163969	SAMN41525216	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	243964358	B		NCBI_discovery_pending_publication_review
ng_SRR29163958	SRR29163958	SAMN41525217	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	152905016	B		NCBI_discovery_pending_publication_review
ng_SRR29163951	SRR29163951	SAMN41525218	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	73932318	B		NCBI_discovery_pending_publication_review
ng_SRR29163950	SRR29163950	SAMN41525219	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	309799150	B		NCBI_discovery_pending_publication_review
ng_SRR29163949	SRR29163949	SAMN41525220	PRJNA1116203	Mycobacterium tuberculosis	Nigeria:BENUE	2016-07/2017-02	Culture isolate	ILLUMINA	PAIRED	77807898	B		NCBI_discovery_pending_publication_review
